Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
Plam,-0.0258585624172266,-0.0447883427186679,-0.00792482655775652,0,0,0,1.74090727868219,0.0177421238548285,-0.00221485071583829,0.000357467149758205,0.0151846344467882,0.000619151483781683,0.00547612023214745,0,0,0,0,0,0,package://MutiFingerHand_Qi_URDF/meshes/Plam.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://MutiFingerHand_Qi_URDF/meshes/Plam.STL,,Plam-1,c11,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,0
L11,0.0456151825139556,-1.38777878078145E-17,-0.0269148979358349,0,0,0,0.025498450699204,3.40990718417786E-06,-1.48230765769503E-21,-2.77198628957502E-06,1.78536582358482E-05,-4.6500911586765E-22,1.85524834440482E-05,0,0,0,0,0,0,package://MutiFingerHand_Qi_URDF/meshes/L11.STL,0.968627450980392,0.258823529411765,0.258823529411765,1,0,0,0,0,0,0,package://MutiFingerHand_Qi_URDF/meshes/L11.STL,,ThumbBase-1,c11,Axis11,J11,revolute,0,0,0,0,0,0,Plam,0,0,1,0,0,0,0,,,,,,,,0
L12,2.77555756156289E-17,1.45464950654373E-07,1.45464950654373E-07,0,0,0,0.00533032952331042,3.90144153680474E-07,1.02097316129139E-11,-1.02097316129135E-11,4.31614139914132E-07,1.12789954344317E-16,4.31614139914132E-07,0,0,0,0,0,0,package://MutiFingerHand_Qi_URDF/meshes/L12.STL,0.647058823529412,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://MutiFingerHand_Qi_URDF/meshes/L12.STL,,FingerRotator-13,c12,Axis12,J12,revolute,0.07,0,0,1.5707963267949,-1.5707963267949,0,L11,0,0,-1,0,0,0,0,,,,,,,,0
L13,0.025739,-5.5511E-17,0,0,0,0,0.021339,3.1394E-06,-6.7982E-23,-2.3507E-22,3.2439E-06,8.4703E-22,3.3284E-06,0,0,0,0,0,0,package://MutiFingerHand_Qi_URDF/meshes/L13.STL,1,1,1,1,0,0,0,0,0,0,package://MutiFingerHand_Qi_URDF/meshes/L13.STL,,FingerBase-10,c13,Axis13,J13,revolute,0,0,0,-1.5708,0,0,L12,0,0,-1,0,0,0,0,,,,,,,,0
L14,0.03,1.38777878078145E-17,1.38777878078145E-17,0,0,0,0.0432977871437822,6.10360523604235E-06,3.40544233741442E-22,-2.68196390977369E-21,1.24187338524514E-05,1.27054942088145E-21,1.27607093027641E-05,0,0,0,0,0,0,package://MutiFingerHand_Qi_URDF/meshes/L14.STL,0.650980392156863,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://MutiFingerHand_Qi_URDF/meshes/L14.STL,,FingerMiddle-9,c14,Axis14,J14,revolute,0.05,0,0,1.5707963267949,0,0,L13,0,0,1,0,0,0,0,,,,,,,,0
L15,0.0294288024878977,1.38777878078145E-17,0,0,0,0,0.0306024106567816,4.30360645164556E-06,-1.49716591271013E-21,-1.02371615035018E-21,6.12985569320618E-06,0,5.6497981829401E-06,0,0,0,0,0,0,package://MutiFingerHand_Qi_URDF/meshes/L15.STL,1,1,1,1,0,0,0,0,0,0,package://MutiFingerHand_Qi_URDF/meshes/L15.STL,,FingerTip-12,c15,Axis15,J15,revolute,0.06,0,0,0,0,0,L14,0,0,1,0,0,0,0,,,,,,,,0
L21,-6.93889390390723E-18,-1.4546495064223E-07,-1.45464950647434E-07,0,0,0,0.00533032952331042,3.90144153680474E-07,-1.02097316130172E-11,1.02097316129302E-11,4.31614139914132E-07,1.12790059481656E-16,4.31614139914132E-07,0,0,0,0,0,0,package://MutiFingerHand_Qi_URDF/meshes/L21.STL,0.647058823529412,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://MutiFingerHand_Qi_URDF/meshes/L21.STL,,FingerRotator-11,c21,Axis21,J21,revolute,-0.0122172386608746,-0.0211608780888301,0.16,1.04719755119661,-1.5707963267949,0,Plam,0,0,1,0,0,0,0,,,,,,,,0
L22,0.0257389350848426,0,3.46944695195361E-18,0,0,0,0.021339303176374,3.13943117425313E-06,2.54748214715417E-22,-2.78389030314293E-22,3.24390776504185E-06,-2.73034225627855E-22,3.328353678847E-06,0,0,0,0,0,0,package://MutiFingerHand_Qi_URDF/meshes/L22.STL,1,1,1,1,0,0,0,0,0,0,package://MutiFingerHand_Qi_URDF/meshes/L22.STL,,FingerBase-8,c22,Axis22,J22,revolute,0,0,0,-1.5707963267949,0,0,L21,0,0,1,0,0,0,0,,,,,,,,0
L23,0.03,3.46944695195361E-18,5.55111512312578E-17,0,0,0,0.0432977871437822,6.10360523604235E-06,1.27609365295756E-22,-4.34709229312595E-21,1.24187338524514E-05,-2.81813461298772E-22,1.27607093027641E-05,0,0,0,0,0,0,package://MutiFingerHand_Qi_URDF/meshes/L23.STL,0.650980392156863,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://MutiFingerHand_Qi_URDF/meshes/L23.STL,,FingerMiddle-7,c23,Axis23,J23,revolute,0.05,0,0,1.5707963267949,0,0,L22,0,0,-1,0,0,0,0,,,,,,,,0
L24,0.0294288024878977,-2.94902990916057E-17,1.11022302462516E-16,0,0,0,0.0306024106567816,4.30360645164556E-06,1.18797029495754E-21,-4.46855167141231E-22,6.12985569320617E-06,1.80427544210057E-22,5.6497981829401E-06,0,0,0,0,0,0,package://MutiFingerHand_Qi_URDF/meshes/L24.STL,1,1,1,1,0,0,0,0,0,0,package://MutiFingerHand_Qi_URDF/meshes/L24.STL,,FingerTip-10,c24,Axis24,J24,revolute,0.06,0,0,0,0,0,L23,0,0,-1,0,0,0,0,,,,,,,,0
L31,-6.93889390390723E-18,-1.45464950640495E-07,-1.45464950645699E-07,0,0,0,0.00533032952331042,3.90144153680474E-07,-1.02097316129807E-11,1.02097316129821E-11,4.31614139914132E-07,1.12790032419864E-16,4.31614139914132E-07,0,0,0,0,0,0,package://MutiFingerHand_Qi_URDF/meshes/L31.STL,0.647058823529412,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://MutiFingerHand_Qi_URDF/meshes/L31.STL,,FingerRotator-9,c31,Axis31,J31,revolute,-0.042217,-0.073122,0.16,1.0472,-1.5708,0,Plam,0,0,1,0,0,0,0,,,,,,,,0
L32,0.0257389063394541,-3.84675260140278E-05,3.46944695195361E-18,0,0,0,0.0213393031763741,3.1394314076131E-06,1.56142881296529E-10,-1.45456208287766E-22,3.24390753168189E-06,1.00080490994555E-23,3.32835367884701E-06,0,0,0,0,0,0,package://MutiFingerHand_Qi_URDF/meshes/L32.STL,1,1,1,1,0,0,0,0,0,0,package://MutiFingerHand_Qi_URDF/meshes/L32.STL,,FingerBase-6,c32,Axis32,J32,revolute,0,0,0,-1.5708,0,0,L31,0,0,1,0,0,0,0,,,,,,,,0
L33,0.03,3.46944695195361E-18,1.73472347597681E-18,0,0,0,0.0432977871437822,6.10360523604236E-06,2.82867588200968E-22,-7.23783035983899E-22,1.24187338524514E-05,1.11803738173056E-22,1.27607093027641E-05,0,0,0,0,0,0,package://MutiFingerHand_Qi_URDF/meshes/L33.STL,0.650980392156863,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://MutiFingerHand_Qi_URDF/meshes/L33.STL,,FingerMiddle-5,c33,Axis33,J33,revolute,0.05,-7.4726E-05,0,1.5708,0,-0.0014945,L32,0,0,-1,0,0,0,0,,,,,,,,0
L34,0.0294288024878977,-2.42861286636753E-17,3.46944695195361E-18,0,0,0,0.0306024106567816,4.30360645164556E-06,9.66613284042354E-22,6.95658895157096E-22,6.12985569320618E-06,-4.1075890436988E-22,5.6497981829401E-06,0,0,0,0,0,0,package://MutiFingerHand_Qi_URDF/meshes/L34.STL,1,1,1,1,0,0,0,0,0,0,package://MutiFingerHand_Qi_URDF/meshes/L34.STL,,FingerTip-8,c34,Axis34,J34,revolute,0.06,0,0,0,0,0,L33,0,0,-1,0,0,0,0,,,,,,,,0
L41,6.93889390390723E-18,-1.45464950643964E-07,-1.45464950654373E-07,0,0,0,0.00533032952331043,3.90144153680475E-07,-1.02097316129488E-11,1.02097316129707E-11,4.31614139914133E-07,1.12790036754609E-16,4.31614139914133E-07,0,0,0,0,0,0,package://MutiFingerHand_Qi_URDF/meshes/L41.STL,0.647058823529412,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://MutiFingerHand_Qi_URDF/meshes/L41.STL,,FingerRotator-7,c41,Axis41,J41,revolute,-0.066029,-0.11437,0.13721,0,-0.87266,-2.0944,Plam,0,0,1,0,0,0,0,,,,,,,,0
L42,0.0257389350848427,0,0,0,0,0,0.021339303176374,3.13943117425313E-06,7.41153828847513E-22,-4.85733635652283E-22,3.24390776504185E-06,-3.46445106391177E-22,3.328353678847E-06,0,0,0,0,0,0,package://MutiFingerHand_Qi_URDF/meshes/L42.STL,1,1,1,1,0,0,0,0,0,0,package://MutiFingerHand_Qi_URDF/meshes/L42.STL,,FingerBase-4,c42,Axis42,J42,revolute,0,0,0,-1.5707963267949,0,0,L41,0,0,1,0,0,0,0,,,,,,,,0
L43,0.03,3.46944695195361E-18,0,0,0,0,0.0432977871437822,6.10360523604235E-06,-4.44323501180997E-22,-4.2351647362715E-22,1.24187338524514E-05,-8.90679628316095E-22,1.27607093027641E-05,0,0,0,0,0,0,package://MutiFingerHand_Qi_URDF/meshes/L43.STL,0.650980392156863,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://MutiFingerHand_Qi_URDF/meshes/L43.STL,,FingerMiddle-3,c43,Axis43,j43,revolute,0.05,0,0,1.5708,0,0,L42,0,0,-1,0,0,0,0,,,,,,,,0
L44,0.0294288024878977,-2.94902990916057E-17,2.77555756156289E-17,0,0,0,0.0306024106567815,4.30360645164555E-06,1.42779239258754E-21,-8.470329472543E-22,6.12985569320617E-06,1.66266387506012E-22,5.64979818294009E-06,0,0,0,0,0,0,package://MutiFingerHand_Qi_URDF/meshes/L44.STL,1,1,1,1,0,0,0,0,0,0,package://MutiFingerHand_Qi_URDF/meshes/L44.STL,,FingerTip-6,c44,Axis44,J44,revolute,0.06,0,0,0,0,0,L43,0,0,-1,0,0,0,0,,,,,,,,0
L51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,package://MutiFingerHand_Qi_URDF/meshes/L51.STL,1,1,1,1,0,0,0,0,0,0,package://MutiFingerHand_Qi_URDF/meshes/L51.STL,,FingerRotator-1,c51,Axis51,J51,revolute,-0.0890101456738759,-0.154170094696265,0.0986397817749958,0,-0.872664625997164,-2.09439510239318,Plam,0,0,1,0,0,0,0,,,,,,,,0
L52,0.0257389350848427,0,6.93889390390723E-18,0,0,0,0.021339303176374,3.13943117425313E-06,1.37642853928824E-21,2.88220668810134E-22,3.24390776504185E-06,2.92652574265324E-22,3.32835367884699E-06,0,0,0,0,0,0,package://MutiFingerHand_Qi_URDF/meshes/L52.STL,1,1,1,1,0,0,0,0,0,0,package://MutiFingerHand_Qi_URDF/meshes/L52.STL,,FingerBase-1,c52,Axis52,J52,revolute,0,0,0,-1.5707963267949,0,0,L51,0,0,1,0,0,0,0,,,,,,,,0
L53,0.03,5.20417042793042E-18,0,0,0,0,0.0432977871437822,6.10360523604235E-06,4.11627739318146E-23,4.2351647362715E-22,1.24187338524514E-05,-5.84540236541777E-22,1.27607093027641E-05,0,0,0,0,0,0,package://MutiFingerHand_Qi_URDF/meshes/L53.STL,0.650980392156863,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://MutiFingerHand_Qi_URDF/meshes/L53.STL,,FingerMiddle-1,c53,Axis53,J53,revolute,0.05,0,0,1.5707963267949,0,0,L52,0,0,-1,0,0,0,0,,,,,,,,0
L54,0.0294288024878977,-3.12250225675825E-17,8.32667268468867E-17,0,0,0,0.0306024106567816,4.30360645164555E-06,2.2352840634969E-21,-8.470329472543E-22,6.12985569320617E-06,7.0682953462273E-23,5.6497981829401E-06,0,0,0,0,0,0,package://MutiFingerHand_Qi_URDF/meshes/L54.STL,1,1,1,1,0,0,0,0,0,0,package://MutiFingerHand_Qi_URDF/meshes/L54.STL,,FingerTip-2,c54,Axis54,J54,revolute,0.06,0,0,0,0,0,L53,0,0,-1,0,0,0,0,,,,,,,,0
